PROBLEMA/RESOLUÇÃO,Pergunta,Resposta
"Bom dia. No dia 17 de novembro do corrente ano, foi protocolado no Tribunal de Conta - DE, o ofício nº 415/2021/PMCN/GP sob nº 4451/2021 o qual solicita a emissão da certidão de adimplência da Prefeitura Municipal de Currais Novos/RN junto ao TCE/RN. Sendo assim, por orientação da Procuradora do Município, solicitamos saber se é possível compartilhar conosco o parecer emitido acerca do solicitado.           Prezado, com relação ao acompanhamento da solicitação, é possível realizar o mesmo através de consulta no site do TCE. Com relação a emissão de Certidão de Adimplência, é possível realizar a mesma através do Portal do Gestor no menu SERVIÇOS >> CERTIDÃO DE ADIMPLÊNCIA. "," Bom dia . No dia 17 de novembro do corrente ano , foi protocolado no Tribunal de Conta - DE , o ofício nº 415/2021/PMCN/GP sob nº 4451/2021 o qual solicita a emissão da certidão de adimplência da Prefeitura Municipal de Currais Novos/RN junto ao TCE/RN . Sendo assim , por orientação da Procuradora do Município , solicitamos saber se é possível compartilhar conosco o parecer emitido acerca do solicitado ."," Prezado , com relação ao acompanhamento da solicitação , é possível realizar o mesmo através de consulta no site do TCE . Com relação a emissão de Certidão de Adimplência , é possível realizar a mesma através do Portal do Gestor no menu SERVIÇOS > > CERTIDÃO DE ADIMPLÊNCIA ."
"PM passagem - Thais – pendência certidão –– usuária relatou q estavam com 3 pendencias q se referiam a cadastro de obras mas q , após cadastra-las , o numero de pendências aumentou e gostaria de saber se estava correto.          Foi informado a usuária q essas pendências se referem a necessidade de acompanhamento da obra q deveria ser feita desde janeiro de 2021, desta forma, cada uma dessas pendências se desdobrará em "," PM passagem - Thais – pendência certidão a usuária relatou q estavam com 3 tendências q se referiam a cadastro de obras mas q , após cadastra-las , o numero de pendências aumentou e gostaria de saber se estava correto ."," Foi informado a usuária q essas pendências se referem a necessidade de acompanhamento da obra q deveria ser feita desde janeiro de 2021 , desta forma , cada uma dessas pendências se desdobrar em"
"PM Martins – oficio – solicitando certidão de adimplência                  foi informado a usuária que existe a certidão emitida pelo portal do gestor, de todo modo foi passado o contato do protocolo para ver se existe alguma outra que atenda a solicitação protocolo 36427371", PM Martins – oficio – solicitando certidão de adimplência," foi informado a usuária que existe a certidão emitida pelo portal do gestor , de todo modo foi passado o contato do protocolo para ver se existe alguma outra que atenda a solicitação protocolo 36427371"
quanto tempo fica pronta a emissão de certidão.           cerca de 1 dia util, quanto tempo fica pronta a emissão de certidão ., cerca de 1 dia util
"A equipe  contábil da Prefeitura Municipal de Santa Cruz está com dúvida e pede, por favor, esclarecimentos ao caso.
O TCE publicou essa norma:

Art. 25-C. O envio das informações de que tratam os incisos I e II do artigo 6º e os incisos I e II, e o parágrafo único, do artigo 8º desta Resolução, concernentes, respectivamente, ao segundo bimestre e ao primeiro quadrimestre do exercício de 2021, poderá ser realizado até o dia 15 do mês de junho do respectivo exercício.  

Com base nela, todos os entes deverão reenviar o RGF e o RREO (1º quadrimestre e o 2º bimestre de 2021), para ajustarmos à nova regra? 
Alterando os números à nova regra, o conteúdo do RGF e RREO já publicados no dia 30 de maio ficará distinto do resultado a ser reenviado ao TCE, se for para reapresentar.
Duvidas: todos os entes públicos deverão reapresentar o RGF e RREO? 
Em sendo positivo, teremos que republicar o RREO e o RGF? 
Republicando, não haverá multas pela intempestividade?
desde já agradeço a resposta.

R: Conforme relatado no Item e Responsabilidade e periodicidade de entrega dos demonstrativos do MDF ao TCE-RN da Nota explicativa disponibilizada na Resolução 012/2021, será necessário o reenvio das referidas prestações de contas, como também de suas publicações, obedecendo o novo prazo.
"," A equipe contábil da Prefeitura Municipal de Santa Cruz está com dúvida e pede , por favor , esclarecimentos ao caso . O TCE publicou essa norma : Art . 25-C. O envio das informações de que tratam os incisos I e II do artigo 6º e os incisos I e II , e o parágrafo único , do artigo 8º desta Resolução , concernentes , respectivamente , ao segundo mestre e ao primeiro quadrimestre do exercício de 2021 , poderá ser realizado até o dia 15 do mês de junho do respectivo exercício . Com base nela , todos os entes deverão reenviar o rei e o raio ( 1º quadrimestre e o 2º mestre de 2021 ) , para ajustarmos à nova regra ? Alterando os números à nova regra , o conteúdo do rei e raio já publicados no dia 30 de maio ficará distinto do resultado a ser reenviado ao TCE , se for para reapresentar . Duvidas : todos os entes públicos deverão reapresentar o rei e raio ? Em sendo positivo , teremos que republicar o raio e o rei ? Republicando , não haverá multas pela intempestividade ? desde já agradeço a resposta ."," Conforme relatado no Item e Responsabilidade e periodicidade de entrega dos demonstrativos do de ao TCE-RN da Nota explicativa disponibilizada na Resolução 012/2021 , será necessário o reenvio das referidas prestações de contas , como também de suas publicações , obedecendo o novo prazo ."
"Como assim? teremos que republicar o RGF com as novas regras? 
Isso não ficou claro na resolução.
Achava prudente que textualmente, isso constasse no texto da resolução.
peço mais orientações, por favor. 

R: Conforme descrito no item 15 da Nota Técnica disponibilizada na Resolução, houve a prorrogação de prazo, para que os órgãos possam de adequar as alterações determinada na Resolução, conforme segue texto abaixo e Resolução em anexo.    

15. Nesse sentido, considerando todo o exposto, RECOMENDA-SE que o TCE-RN prorrogue em 15 dias a entrega dos Demonstrativos Fiscais e dos seus respectivos comprovantes de publicação relativos ao Relatório Resumido de Execução Orçamentária (RREO) do 2º Bimestre de 2021 e ao Relatório de Gestão Fiscal (RGF) do 1º quadrimestre de 2021, de forma que os Poderes e órgãos competentes possam realizar as adequações necessárias para cumprir as determinações do Acórdão nº 122/2021-TC, bem como as orientações do Manual de Demonstrativos Fiscais (MDF) publicado pela Secretaria do Tesouro Nacional (STN).   "," Como assim ? teremos que republicar o rei com as novas regras ? Isso não ficou claro na resolução . Achava prudente que textualmente , isso constasse no texto da resolução . peço mais orientações , por favor ."," Conforme descrito no item 15 da Nota Técnica disponibilizada na Resolução , houve a prorrogação de prazo , para que os órgãos possam de adequar as alterações determinada na Resolução , conforme segue texto abaixo e Resolução em anexo . 15 . Nesse sentido , considerando todo o exposto , RECOMENDA-SE que o TCE-RN prorrogue em 15 dias a entrega dos Demonstrativos Fiscais e dos seus respectivos comprovantes de publicação relativos ao Relatório Resumido de Execução Orçamentária ( raio ) do 2º mestre de 2021 e ao Relatório de Gestão Fiscal ( rei ) do 1º quadrimestre de 2021 , de forma que os Poderes e órgãos competentes possam realizar as adequações necessárias para cumprir as determinações do Acórdão nº 122/2021-TC , bem como as orientações do Manual de Demonstrativos Fiscais ( de ) publicado pela Secretaria do Tesouro Nacional ( STN ) ."
"Em atendimento à Resolução 012/2021 deste Tribunal, estamos fazendo o reenvio atualizado referente ao 2º Bimestre e 1º Quadrimestre da Prefeitura de Parnamirim, no SIAI Coleta. Dito isto, gostaria de saber se haverá necessidade de republicar os relatórios no Diário Oficial do Município para posterior cadastro no Portal do Gestor.

Fico no aguardo de uma resposta. 

R: Havendo alteração e alteração dos dados,os mesmos deverão ser publicados e enviados a esta Corte de Contas.
"," Em atendimento à Resolução 012/2021 deste Tribunal , estamos fazendo o reenvio atualizado referente ao 2º mestre e 1º Quadrimestre da Prefeitura de Parnamirim , no sai Coleta . Dito isto , gostaria de saber se haverá necessidade de republicar os relatórios no Diário Oficial do Município para posterior cadastro no Portal do Gestor . Fico no aguardo de uma resposta ."," Havendo alteração e alteração dos dados , os mesmos deverão ser publicados e enviados a esta Corte de Contas ."
"Pm parnamirim – mara – apresentar confirmacao ao promotor. Usuária solicita Comprovante de envio de rreo – contas anuais, do 3º ao 6º de 2014.        Foi confirmado a usuária que temos o recibo e enviamos via email."," Pm parnamirim – mara – apresentar confirmação ao promotor . Usuária solicita Comprovante de envio de raio – contas anuais , do 3º ao 6º de 2014 .", Foi confirmado a usuária que temos o recibo e enviamos via email .
"PM PARNAMIRIM.
Trabalhamos na Prefeitura de Parnamirim e gostaríamos de saber se ao anexar mais de uma publicação de um mesmo período referente RREO e/ou RGF no Portal do Gestor, se estas são sobrepostas ou se o TCE considera todos os envios.

RESPOSTA
Assim como o envio do arquivo LRF e o anexo 14, o envio dos comprovantes de publicação são retificados, ficando vigente o último envio com as situações de Enviado dentro prazo ou Enviado fora do prazo."," PM PARNAMIRIM . Trabalhamos na Prefeitura de Parnamirim e gostaríamos de saber se ao anexar mais de uma publicação de um mesmo período referente raio e/ou rei no Portal do Gestor , se estas são sobrepostas ou se o TCE considera todos os envios ."," RESPOSTA Assim como o envio do arquivo LRF e o anexo 14 , o envio dos comprovantes de publicação são retificados , ficando vigente o último envio com as situações de Enviado dentro prazo ou Enviado fora do prazo ."
Rosangela – cm tangara – contas de gestão – CPF do gestor e dif da assinatura do gestor atual -                  foi informado a usuária que a assinatura e envio deverão ser a do gestor atual., Rosangela – cm zangada – contas de gestão – CPF do gestor e dif da assinatura do gestor atual -, foi informado a usuária que a assinatura e envio deverão ser a do gestor atual .
